Time_stamp,Original_load_kw,Net_load_w_ESS_kw,ESS_injection_kw
2017-01-02T233000,276.8671231,261.3338651,-15.53325801
2017-01-02T234500,289.6,278.0697142,-11.53028576
2017-01-03T000000,293.6140521,283.716593,-9.89745908
2017-01-03T001500,286.4,273.2869781,-13.11302188
2017-01-03T003000,283.4228326,271.2252777,-12.19755491
2017-01-03T004500,286.4345846,279.8769893,-6.557595286
2017-01-03T010000,281.9317425,278.9517039,-2.980038578
2017-01-03T011500,291.6764104,291.2900784,-0.386332049
2017-01-03T013000,283.0912082,277.775431,-5.315777158
2017-01-03T014500,293.0009082,287.9304138,-5.070494414
2017-01-03T020000,284.8,285.9116087,1.111608729
2017-01-03T021500,280,280.5262177,0.526217684
2017-01-03T023000,272,270.9071787,-1.092821311
2017-01-03T024500,286.4,287.7366497,1.336649661
2017-01-03T030000,267.2,273.4800281,6.280028126
2017-01-03T031500,268.8,276.3675027,7.5675027
2017-01-03T033000,278.4,286.2543997,7.854399718
2017-01-03T034500,280,286.3887076,6.388707615
2017-01-03T040000,275.2,279.1360753,3.936075303
2017-01-03T041500,273.6,275.9023518,2.302351753
2017-01-03T043000,267.2,267.2,0
2017-01-03T044500,267.2,267.2,0
2017-01-03T050000,256,256,0
2017-01-03T051500,250.0975284,250.0975284,0
2017-01-03T053000,254.7084783,254.7084783,0
2017-01-03T054500,259.0153661,259.0153661,0
2017-01-03T060000,256,256,0
2017-01-03T061500,256,253.5787782,-2.421221819
2017-01-03T063000,249.6,243.2088073,-6.391192666
2017-01-03T064500,257.6,249.7132739,-7.886726065
2017-01-03T070000,249.6,240.8786756,-8.721324438
2017-01-03T071500,249.6,240.6409364,-8.959063609
2017-01-03T073000,284.8,275.3037794,-9.496220568
2017-01-03T074500,292.8,282.5184262,-10.28157376
2017-01-03T080000,289.6632933,279.1528711,-10.51042225
2017-01-03T081500,294.4,284.37346,-10.02654002
2017-01-03T083000,273.6,280.0721694,6.472169371
2017-01-03T084500,257.4222793,274.8868004,17.46452108
2017-01-03T090000,242.9132804,260.2715391,17.35825866
2017-01-03T091500,243.0736251,260.2938231,17.22019795
2017-01-03T093000,253.8198557,270.704797,16.88494134
2017-01-03T094500,241.6360546,258.7913012,17.15524662
2017-01-03T100000,246.693646,263.7689755,17.07532949
2017-01-03T101500,236.0605054,253.2775765,17.21707111
2017-01-03T103000,234.9200696,252.1583681,17.23829847
2017-01-03T104500,235.5295935,252.7996567,17.27006317
2017-01-03T110000,232.1205696,249.4221499,17.30158033
2017-01-03T111500,227.1349442,244.493406,17.35846175
2017-01-03T113000,232,248.8234472,16.82344722
2017-01-03T114500,230.4,247.1778447,16.77784472
2017-01-03T120000,220.8,237.2104139,16.41041385
2017-01-03T121500,222.4,238.1795899,15.7795899
2017-01-03T123000,222.4,238.0667047,15.6667047
2017-01-03T124500,222.4,237.9184638,15.51846385
2017-01-03T130000,238.4,253.4725034,15.07250336
2017-01-03T131500,249.6,264.208216,14.60821602
2017-01-03T133000,243.2,257.92706,14.72706002
2017-01-03T134500,254.4,268.4357443,14.03574426
2017-01-03T140000,246.4,260.4450864,14.04508635
2017-01-03T141500,251.2,265.1213793,13.92137926
2017-01-03T143000,254.4,268.6845806,14.28458064
2017-01-03T144500,264,278.437927,14.43792702
2017-01-03T150000,260.8,274.6432634,13.8432634
2017-01-03T151500,259.2,270.6170322,11.4170322
2017-01-03T153000,265.6,277.2704497,11.67044971
2017-01-03T154500,262.4,274.7444101,12.34441006
2017-01-03T160000,270.4,281.5546393,11.1546393
2017-01-03T161500,270.4,277.2357412,6.835741227
2017-01-03T163000,267.2,273.0767497,5.876749702
2017-01-03T164500,278.4,286.433232,8.033232041
2017-01-03T170000,281.6,287.9502704,6.350270391
2017-01-03T171500,278.4,278.1942664,-0.20573365
2017-01-03T173000,281.6,279.2335029,-2.36649713
2017-01-03T174500,289.6245361,287.2034486,-2.421087508
2017-01-03T180000,286.4,284.5062703,-1.893729714
2017-01-03T181500,284.8,280.407524,-4.392475962
2017-01-03T183000,283.2,277.785583,-5.414416996
2017-01-03T184500,276.8,272.5907473,-4.20925267
2017-01-03T190000,284.8,283.8540135,-0.945986459
2017-01-03T191500,281.6,274.637728,-6.962271974
2017-01-03T193000,276.8,266.4997297,-10.30027033
2017-01-03T194500,289.6,283.5597309,-6.040269124
2017-01-03T200000,272,274.9730544,2.973054401
2017-01-03T201500,265.6,255.4054971,-10.19450291
2017-01-03T203000,276.8,269.2886584,-7.511341609
2017-01-03T204500,280,271.5421299,-8.457870107
2017-01-03T210000,283.2,272.9783642,-10.22163578
2017-01-03T211500,286.4,271.6905957,-14.70940433
2017-01-03T213000,292.8,275.6306584,-17.16934156
2017-01-03T214500,292.8,272.2826889,-20.51731111
2017-01-03T220000,297.6703645,278.6088883,-19.0614762
2017-01-03T221500,297.6815964,279.595094,-18.08650237
2017-01-03T223000,288,267.1764717,-20.82352832
2017-01-03T224500,295.440852,274.8610604,-20.57979161
2017-01-03T230000,286.6663348,266.1122485,-20.55408632
2017-01-03T231500,290.1977493,270.847856,-19.34989325
2017-01-03T233000,289.5739281,269.2417603,-20.33216783
2017-01-03T234500,297.6,278.7583272,-18.84167279
2017-01-04T000000,286.4197339,271.8552887,-14.56444519
2017-01-04T001500,286.4364004,274.0387743,-12.39762607
2017-01-04T003000,288.0486214,277.0748468,-10.97377462
2017-01-04T004500,291.2,281.3321792,-9.867820796
2017-01-04T010000,287.604785,277.0849439,-10.51984113
2017-01-04T011500,292.7438977,286.1060117,-6.637885962
2017-01-04T013000,286.3984783,277.2895464,-9.108931857
2017-01-04T014500,289.5623931,280.2672997,-9.295093418
2017-01-04T020000,281.6,277.3009099,-4.299090116
2017-01-04T021500,276.8,272.5815692,-4.218430824
2017-01-04T023000,285.1298436,280.2462183,-4.883625288
2017-01-04T024500,289.904057,281.9060092,-7.998047831
2017-01-04T030000,267.1782742,269.1676662,1.989391997
2017-01-04T031500,276.8,281.1175335,4.317533458
2017-01-04T033000,278.4,281.1509423,2.750942339
2017-01-04T034500,280,281.8591595,1.859159471
2017-01-04T040000,276.8,282.0835391,5.283539076
2017-01-04T041500,265.6,268.37776,2.777759959
2017-01-04T043000,270.4,271.834281,1.434280989
2017-01-04T044500,257.6,258.6843901,1.084390133
2017-01-04T050000,260.8,260.8,0
2017-01-04T051500,257.6,257.6,0
2017-01-04T053000,249.6,249.6,0
2017-01-04T054500,260.8,260.8,0
2017-01-04T060000,259.2,259.2,0
2017-01-04T061500,257.6,257.6,0
2017-01-04T063000,249.6,246.6004349,-2.99956511
2017-01-04T064500,252.8,249.6325572,-3.167442844
2017-01-04T070000,251.2,247.269764,-3.93023598
2017-01-04T071500,248,244.1145956,-3.885404428
2017-01-04T073000,280,273.0994839,-6.900516058
2017-01-04T074500,286.4,279.1514472,-7.248552769
2017-01-04T080000,286.5682074,278.3521214,-8.216086024
2017-01-04T081500,296,286.0882524,-9.911747615
2017-01-04T083000,267.2,268.1945348,0.99453479
2017-01-04T084500,256.8707959,275.1049845,18.23418862
2017-01-04T090000,235.3519902,253.5505064,18.19851623
2017-01-04T091500,239.7117387,257.8382679,18.12652919
2017-01-04T093000,239.134597,257.242492,18.10789502
2017-01-04T094500,236.0582933,254.0414606,17.98316732
2017-01-04T100000,238.7096484,256.5936396,17.8839912
2017-01-04T101500,220.4982509,238.3057517,17.80750084
2017-01-04T103000,225.6,243.0875877,17.48758767
2017-01-04T104500,226.2413359,243.6919241,17.45058824
2017-01-04T110000,230.5372958,247.8741197,17.33682391
2017-01-04T111500,227.5291262,245.1012513,17.57212511
2017-01-04T113000,231.6754235,248.5707109,16.89528737
2017-01-04T114500,227.2,244.1859602,16.9859602
2017-01-04T120000,219.2,235.7186724,16.51867241
2017-01-04T121500,217.6,233.8456547,16.24565465
2017-01-04T123000,219.2,235.4519389,16.25193888
2017-01-04T124500,216,232.2707969,16.27079687
2017-01-04T130000,232,248.3270293,16.32702932
2017-01-04T131500,249.6,265.8300343,16.23003427
2017-01-04T133000,238.4,254.1749916,15.77499164
2017-01-04T134500,248,262.9913315,14.99133155
2017-01-04T140000,246.4,261.2137446,14.81374463
2017-01-04T141500,248,262.4843398,14.48433976
2017-01-04T143000,252.8,267.4805076,14.68050762
2017-01-04T144500,256,270.5914527,14.59145274
2017-01-04T150000,249.6,263.6770692,14.07706918
2017-01-04T151500,267.2,278.6578102,11.45781024
2017-01-04T153000,262.4,269.196148,6.796148049
2017-01-04T154500,267.2,274.8204974,7.620497361
2017-01-04T160000,276.8,285.3423896,8.542389565
2017-01-04T161500,265.6,272.0138097,6.413809672
2017-01-04T163000,275.2,281.1716632,5.971663245
2017-01-04T164500,275.2,279.1300591,3.930059056
2017-01-04T170000,276.8,280.1259333,3.325933259
2017-01-04T171500,273.6,275.1167096,1.516709617
2017-01-04T173000,280,277.5550883,-2.444911701
2017-01-04T174500,283.2,278.3028384,-4.89716161
2017-01-04T180000,281.6,278.2210559,-3.378944107
2017-01-04T181500,288,284.22836,-3.771640035
2017-01-04T183000,282.965744,276.4154087,-6.550335268
2017-01-04T184500,284.8753562,280.026948,-4.848408185
2017-01-04T190000,289.6,284.2209297,-5.379070268
2017-01-04T191500,276.8,269.5021654,-7.297834552
2017-01-04T193000,284.2910945,275.9159435,-8.375150984
2017-01-04T194500,302.8054054,294.0658355,-8.739569938
2017-01-04T200000,276.9240492,276.1281568,-0.795892374
2017-01-04T201500,270.4,270.8194967,0.419496687
2017-01-04T203000,282.8065352,278.1268709,-4.679664347
2017-01-04T204500,288.2908474,280.0987521,-8.192095348
2017-01-04T210000,284.5777324,270.9896461,-13.58808626
2017-01-04T211500,291.3712112,275.4655986,-15.90561264
2017-01-04T213000,291.2,275.703126,-15.49687396
2017-01-04T214500,301.9500924,280.4034388,-21.5466536
2017-01-04T220000,294.6924798,270.9498447,-23.74263509
2017-01-04T221500,300.8,283.5101619,-17.28983808
2017-01-04T223000,299.9600912,280.3393149,-19.62077628
2017-01-04T224500,292.7735089,270.3221311,-22.45137777
2017-01-04T230000,298.4314208,282.1045293,-16.3268915
2017-01-04T231500,300.6463828,284.3003058,-16.34607704
2017-01-04T233000,297.3179057,273.1181146,-24.19979111
2017-01-04T234500,309.3925895,284.8123177,-24.58027175
2017-01-05T000000,293.2595164,276.2660487,-16.99346767
